 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

2319752,202601,1201-1800,LAN.Airport,MI,,,,3000,,VMC,,,Daylight,,,Tower LAN,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Initial Approach,Visual Approach,Class C LAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,,,Confusion; Situational Awareness,,,2319752,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Flight Crew Total 2595,,Situational Awareness; Confusion,,,2319753,Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT,,,Automation Air Traffic Control; Automation Aircraft Other Automation; Person Air Traffic Control; Person Flight Crew,In-flight,Air Traffic Control Issued Advisory / Alert; Flight Crew Took Evasive Action,Human Factors; Software and Automation; Chart Or Publication,Chart Or Publication,"On downwind at 3;000 feet for Runway 28L we were cleared for the visual approach. On the approach plate I determined and communicated that an obstacle was charted at approximately 1;900 feet and ahead of us; and we began to look for it. We noticed a tall tower which we believed to be that obstacle; and I determined that we would remain south and above it until we turned base. I set 2;400 for the final approach fix altitude and descended. However; when passing that tower we simultaneously noticed another tower straight ahead. In the next few moments; and before we were able to make a determination about which obstacle was which; we received an Enhanced Ground Proximity Warning System (EGPWS) caution for an obstacle ahead. I initiated a climb back to 3;000 feet. Tower advised us of a low-altitude alert to which we responded that we were climbing. Upon reaching 3;000 feet we continued the approach with our base turn. The aircraft continued to land uneventfully.Cause: We believed that we had the charted obstacle in sight and had a plan to avoid it. However; the tower that we believed to be the charted obstacle was instead a different tower that we did not see on our charts; and the charted tower was in our flight path; though below our altitude.Suggestions: The Jeppesen approach plate for the ILS 28L shows only one primary obstacle in that area. It is charted at 1;923 feet. However; there is another tower very similar to that obstacle in close proximity; slightly to the northwest; that is not charted. I believe that this caused confusion and detracted from our situational awareness as a crew.",,"[Report narrative contained no additional information.]",,"Air carrier flight crew on a visual approach to LAN Runway 28L reported there is an uncharted tower that is in close proximity to a charted tower that caused the EGPWS to alert.",
2319783,202601,0001-0600,MDT.Airport,PA,,,0,,,,Snow,,,,,Ramp MDT,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Flight Crew Instrument,,,Communication Breakdown,Party1 Flight Crew; Party2 Ground Personnel,,2319783,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Ground Equipment Issue; Ground Event / Encounter Weather / Turbulence,,,Person Flight Crew,Pre-flight,General Flight Cancelled / Delayed,Procedure; Human Factors; Company Policy; Environment - Non Weather Related,Procedure,"At MDT; deicing operations were highly disorganized; non-standard; and inadequately managed; presenting a clear safety hazard. Despite advance notice; deice resources were not staged; and MDT Station Operations radio and phone communications were unreliable or unavailable; preventing effective coordination. Both the flight crew and company Dispatch experienced repeated difficulty making contact with Station Operations for updates or guidance. Multiple equipment issues were observed; including deice truck and radio malfunctions; with a third deice truck ultimately required to successfully deice/anti-ice our aircraft. While awaiting deicing; an event further disrupted already constrained operations. This report is submitted to highlight systemic safety deficiencies specific to MDT Station deicing operations; all observed flight crews and aircraft operations were professional and conducted in accordance with procedures. The overall lack of coordination; oversight; and situational awareness by MDT Station Operations and deicing personnel created an elevated and unnecessary risk to aircraft; personnel; and flight crews and warrants prompt corrective action.Causal factors. Deicing resources were not staged or prepared despite advance notification. Inadequate coordination and oversight by MDT Station Operations and deicing personnel. Unreliable station radio and phone communications limiting situational awareness. Multiple deice truck and radio equipment failures with insufficient redundancy. Lack of standardized deicing flow and contingency planning during peak conditions.Recommendations to mitigate risk. Ensure deicing equipment and personnel are staged based on forecast conditions and advance notifications. Improve station communication reliability; including radio coverage and phone responsiveness. Establish clear operational oversight and standardized deicing procedures during icing events. Verify deice truck readiness; maintenance; and redundancy prior to operations. Conduct a station-level review of deicing staffing; training; and contingency planning.",,,,"Air carrier pilot reported that de-icing operations at MDT are highly disorganized; non-standard; and inadequately managed; and it was difficult to communicate with Airport Operations.",
2319824,202601,1801-2400,CLT.Airport,NC,,,,,,,,,,,,Center ZDC,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Climb,SID KILNS5,Class E ZDC,,,,,,,,,,,,,,,,,,,,,,,,GPS & Other Satellite Navigation,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,Human-Machine Interface; Confusion,,,2319824,Aircraft X,Flight Deck,Air Carrier,First Officer,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,,,Human-Machine Interface; Confusion,,,2319828,Aircraft Equipment Problem Less Severe; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance,,,Person Air Traffic Control,In-flight,Air Traffic Control Issued Advisory / Alert; Flight Crew Became Reoriented,Aircraft; Software and Automation,Ambiguous,"We put in the route at the gate with runway 36C and the KILNS departure to AUDII. We both verified the route. On pushback they gave us 36R so we swapped over the runway transition in the box and verified takeoff numbers for the right side remained the same. We briefed the now right hand turn to heading 225 and verified the first fix to be MUNBE. We took off 36R; made the turn and ATC gave us direct LILIC which we had in the box. The just after checking on with center ATC asked us which fix we were headed to. This was just after KILNS and we were now direct to QUART. ATC explained we missed a departure fix and this was a common recurring problem. At this point we realized the transition on the kilns departure after KILNS had dropped out; probably when we did the runway change. It was weird because all the initial fixes were good we were just missing DURST and AUDII. ATC explained it was a common problem that's been occurring for the last year and they are trying to figure out why we are missing these fixes.",,"We were cleared to EWR from CLT as filed; with the KILNS5 RNAV departure. I loaded the flight plan in the box; expecting to depart Runway 36C; and the Captain checked the box to confirm it was entered correctly. Upon pushback from gate XX; ramp advised us to expect 36R for departure. The Captain immediately updated the MCDU to reflect a 36R departure and reloaded the KILNS5 SID. I confirmed on the RTE page that we were now setup for 36R with the KILNS departure. We departed 36R and were assigned a heading; then shortly after given direct the first fix on the departure of LILC. The GPS then sequenced us to KILNS as expected; but then instead of transitioning to DURST; the MCDU sequenced us directly to QUART; the first fix after the SID ends. For some reason when we reloaded the departure with 36R; the MCDU dropped the fixes DURST and AUDII off of the SID. Before we realized that those fixes had been missed; Washington center asked us what fix we were navigating to; and we told them QUART; when we now realized we should've been going to DURST.ATC told us this was a common issue that has been happening on this departure and encouraged us to file this report.",,"Air carrier flight crew reported a course deviation during departure on the KILNS5 SID resulted when the GPS dropped two fixes and sequenced incorrectly. Reporters stated that ATC reported this was a common occurrence over the past year and the cause was unknown.",
2320006,202601,0001-0600,ZLC.ARTCC,UT,,,,10000,,,,,,,,Center ZLC,,Small Transport; Low Wing; 2 Turboprop Eng,,1,,IFR,,,Climb,Vectors,Class E BTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facility ZLC.ARTCC,,Government,Enroute,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 19,,Situational Awareness,,,2320006,,,,,,,,,,,,ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT,,,Person Air Traffic Control,In-flight,Air Traffic Control Issued New Clearance,Human Factors,Human Factors,"Aircraft X was requesting a VOR-A approach to 3U3 with an initial at CPN. I had another aircraft that I was attempting to get into BTM on an ILS approach. The missed approach on the BTM ILS climbs out over CPN. The BTM aircraft had reported below 090 and I cleared Aircraft X to cross CPN AOA (At Or Above) 100 for the VOR-A; planning on them being clear of CPN before the BTM aircraft reached the MAP.  By this point the BTM arrival was below radar coverage. I asked Aircraft X to verify that they were planning a straight in from CPN. They said they were planning a procedure turn. I attempted to cancel their approach clearance and give them a delay vector with a climb to back to 110. They did not initiate the climb until they were already in the turn and got into the 109 box south of CPN before they reached 110. Recommendation:Verify straight in or PT (Procedure Turn) further outTurn the aircraft further to the north and verify climbing prior to the turnHold one aircraft until the other has completed the procedureImprove radar coverage in the BTM-3U3 areaModernize 3U3 approach to deconflict with BTM if possible",,,,"ARTCC Controller reported a situation where they canceled an aircraft's approach clearance and issued a delay vector and climb; the aircraft was slow climbing to the assigned altitude resulting in flight towards terrain.",
2320010,202601,1801-2400,SCT.TRACON,CA,,,,4300,,,,,,,,TRACON SCT,,Light Transport,,2,,IFR,,,Descent,Vectors,Class E SCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facility SCT.TRACON,,Government,Approach,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (mon) 0; Air Traffic Control Time Certified In Pos 1 (yrs) 18,,Situational Awareness,,,2320010,,,,,,,,,,,,ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT,,,Person Air Traffic Control,In-flight,Air Traffic Control Issued Advisory / Alert,Human Factors,Human Factors,"I was working 4 aircraft into SDM (3 jets and 1 small aircraft; higher volume than normal) and the weather had lowered to BKN030.  I advised the pilots that a few aircraft had gotten the field in sight for the visual before the weather had decreased. Due to the updated weather; they were being vectored for the RNV 8L.  If they got the field in sight; advise me.  The MVA to the east is high; so generally when aircraft see the field late and are cleared for the visual approach; they overfly the field to enter the north downwind.  Aircraft X was the last aircraft in the conga line.  Once the third aircraft was over the field and below 030; I initiated a descent for Aircraft X to 040.  I worked a few other aircraft; looked back and realized I had descended him in a 050 MVA.  He was a foreign pilot.  SInce it was my fault; I advised the pilot of this before I issued the low altitude alert.  In my apology; I didn't issue 'check your altitude immediately' in the phraseology.Suggestions: In the future; I'll issue the correct phraseology to fix the issue and then apologize to the pilot.  I have been here for 15 years and am very careful with MVAs.  I got zoned in on getting the aircraft lower to get the field in sight.  I should have just handed this last aircraft off to the adjacent sector; so they could work him in and get him lower in an appropriate time.",,,,"SCT TRACON Controller reported descending an aircraft to an altitude below the MVA resulting in flight towards terrain.  The controller issued an alert to the aircraft.",
2320017,202601,1201-1800,OAK.Tower,CA,,,,2400,,,,,,,,Tower OAK,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Final Approach,Other Instrument Approach,Class B SFO; Class C OAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tower OAK,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Final Approach,,Class B SFO; Class C OAK,,,,,,,,,,,,,,,,,,,,,,,,Facility OAK.Tower,,Government,Local,Air Traffic Control Fully Certified,,,Time Pressure,,,2320017,,,,,,,,,,,,ATC Issue All Types; Conflict Airborne Conflict; Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT,,,Automation Air Traffic Control; Person Air Traffic Control,In-flight,Air Traffic Control Issued Advisory / Alert; Air Traffic Control Issued New Clearance; Flight Crew Returned To Clearance,Procedure; Weather,Procedure,"Ceilings reported at 019 by previous arrival. Three commercial aircraft on final to runway 12. The first aircraft on approach slowed to approximately 130kts. I advised the second aircraft; Aircraft Y; that they had a 40kt overtake on traffic 3.5 miles ahead. They slowed down to ensure proper spacing. The third aircraft; Aircraft Z; initiated communication with me while 3.18 miles behind Aircraft Y with a 20kt overtake. I told Aircraft Z about the overtake and asked if they had Aircraft Y in sight. They said they were already at final approach speed and that they were IMC. At 3 miles separation I instructed Aircraft Z to go around; fly runway heading; and continue the decent to 1;600ft in order to stay under the SFO final. The pilot read back the instructions correctly but descended to 1;200ft. I issued a low altitude alert to Aircraft Z and told him to climb to 1;600ft. I then climbed him higher once he was clear of the SFO final. Aircraft Z and Aircraft Y got within 2.6 miles and 400ft. Recommendation: With low ceilings on flight plan we have no outs if we lose separation on final. If we have a go around we have to force the aircraft to continue the decent to get below the SFO final. When an aircraft increase speed during a go around this often leads to a loss of separation with the preceding aircraft. Recommend a minimum of 4 miles separation on final to 12 when ceilings are reported by the tower to be below 3;000ft.",,,,"OAK Tower Controller reported traffic overshot altitude clearance resulted in a low altitude alert and a loss of separation due to ATC procedure resulted in a CFTT event.",
2320045,202601,,ZZZ.TRACON,US,,,,1600,,VMC,,,,,,Tower ZZZ,Air Carrier,B737 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Final Approach,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Autopilot,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,Situational Awareness; Communication Breakdown,Party1 Flight Crew; Party2 Flight Crew,,2320045,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,Communication Breakdown; Situational Awareness; Distraction,Party1 Flight Crew; Party2 Flight Crew,,2320343,Deviation - Altitude Overshoot; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Unstabilized Approach,,,Automation Aircraft Terrain Warning; Person Air Traffic Control; Person Flight Crew,In-flight,Air Traffic Control Issued Advisory / Alert; Flight Crew FLC complied w / Automation / Advisory; Flight Crew Returned To Clearance,Human Factors; Procedure,Human Factors,"On arrival into ZZZ we were cleared direct ZZZZZ RNAV W XX. Outside ZZZZZ 1600 was set in the FMC and we initiated the approach. Approaching ZZZZZ1 the FMC began to level off. Realizing I had not complied with my own briefing of setting touchdown inside ZZZZZ2; touchdown was set and I disconnected the Autopilot and hand flew to regain the path. Initially overcorrecting; I went below path before correcting back to path. The overcorrection prompted a low alt alert with tower; which they queried about; and we replied corrections were being made. The approach was stabilized above 500' and a normal landing was made.",,"Flying the RNAV W to XX into ZZZ; we were vectored behind an A350 on the same approach. We were told to slow from 250 to 210; then 190; then 170 until ZZZZZ1. We were visual with the air carrier traffic ahead and were cleared the approach and cleared to land RWY XX. Airbus ahead of us was cleared to land; and tower also queried them as to why they were almost a mile east of course. They said that winds were very strong. We continued to fly the approach on the magenta line and at the required speeds from approach and tower. We kept the A350 visual as we commenced the approach.Passing ZZZZZ1; we were fully configured with landing checklist complete; when captain saw the jet leveling off and said "touchdown zone". I looked up to see ALT HOLD with the FAF altitude of 1600 still set; and the Flight Directors were not commanding a descent on the glide path. I immediately spun the TDZE to 100' as the PF disconnected the autopilot to recapture the VNAV descent path and get us back to the glide slope. While doublechecking the TDZE altitude on the approach plate; I heard tower ask us to check our descent rate. Apparently; the PF had momentarily gone below vertical flight path; which he quickly corrected it and had stabilized as I responded to tower.Between ZZZZZ1 and ZZZZZ3 we had a brief glide path deviation where we were below VNAV glide path. The remainder of the approach and landing were uneventful. Both pilots got distracted with the traffic in front of us and missed setting TDZE at ZZZZZ2; which would have prevented the error.",,"B737 flight crew reported receiving a low altitude alert and a descent rate inquiry from ATC during the final approach segment of an RNAV approach. Flight crew over-corrected manually after failing to set the appropriate altitude in the alerter.",
2320052,202601,0001-0600,SFO.Airport,CA,,,,,,VMC,,,,,,Tower SFO,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,,FMS Or FMC,Takeoff / Launch,,Class B SFO,,,,,,,,,,,,,,,,,,,,,,,,FMS/FMC,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,,,,2320052,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; No Specific Anomaly Occurred Unwanted Situation,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Flight Crew Overcame Equipment Problem,Aircraft; Software and Automation,Aircraft,"Please note that the CIITY 3 Departure off of 10L builds in a significant heading change due to the FMC not knowing ahead of time that the aircraft will reach 520 feet prior to ORYAN. The FMC initially calculates the 520 feet to occur after ORYAN at which point it commands direct to the fix. I do believe once airborne the hard heading change goes away because the FMC calculates the 520 altitude to occur prior to ORYAN. I've seen this happen twice now. It left us scratching our heads for a bit as we taxied to the runway the first time. Today we were expecting it. No safety issues either time.",,,,"Air carrier Captain expressed concern about the design of the SFO CIITY3 departure off Runway 10L.",
