 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

1780062,202101,1201-1800,ZZZ.ARTCC,US,,,,26000,,,,,,,,Center ZZZ,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Cruise,,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facility ZZZ.ARTCC,,Government,Enroute,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 6,,Communication Breakdown; Distraction; Training / Qualification,Party1 ATC; Party2 ATC,,1780062,,,,,,,,,,,,ATC Issue All Types; Airspace Violation All Types; Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Weather / Turbulence,,,Person Air Traffic Control,In-flight,General None Reported / Taken,Airspace Structure; Environment - Non Weather Related; Human Factors,Environment - Non Weather Related,"The rides were bad and Aircraft X asked to descend. My D-side called and requested control; but neglected to point the aircraft out to the underlying sector. I forgot about the shelf as well so I never double checked my D-side's work and I descended the aircraft. There is really no recommendations. The issues are a lack of competency on everyone's part. The D-side barely works as is; and I myself do not get enough quality time anymore because of the lack of traffic. Combined with a constant changing of sector configurations led to this issue.",,,,"Center Controller reported descending an aircraft into another Controller's airspace; thinking the D-Side had pointed the aircraft out.",
1780073,202101,1801-2400,ZZZ.Tower,US,,,,,,,,,,,,Tower ZZZ,,Any Unknown or Unlisted Aircraft Manufacturer,,2,Part 121,IFR,Passenger,,Final Approach,,Class C ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tower ZZZ,,Any Unknown or Unlisted Aircraft Manufacturer,,,,,,,Final Approach,,Class C ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Facility ZZZ.Tower,,Government,Local,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 3,,Training / Qualification; Troubleshooting; Workload; Communication Breakdown; Confusion; Distraction; Situational Awareness; Time Pressure,Party1 ATC; Party2 Flight Crew,,1780073,,,,,,,,,,,,ATC Issue All Types; Conflict Airborne Conflict; Deviation - Speed All Types; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Air Traffic Control,In-flight,Air Traffic Control Issued Advisory / Alert; Air Traffic Control Provided Assistance; Air Traffic Control Issued New Clearance,ATC Equipment / Nav Facility / Buildings; Airport; Environment - Non Weather Related; Human Factors; Staffing,Environment - Non Weather Related,"First day back after being off for two weeks for COVID-19 quarantine; we don't even have half of our normal staffing which is already low due to COVID.  Total number of CPC's for the day is only 6 when normally it would be at least XX.I get put on the LC1 position with no assist or LC2; I was told that there was a CFR [Call For Release] in effect for ZZZ.  It ended being super busy and it seemed like there was no flow put in place; we were pretty much operating business as usual.  I did not receive much spacing on final and I even had to send an aircraft around because of an overtake and lack of runway separation.  Approach also sent in an uncoordinated early turn IFR jet from the north east; I had to adjust his flight path to de conflict him from the [aircraft in the] traffic pattern and from a departure I had rolling on [Runway] XXR.  This created another conflict with another arrival they had doing 180 kts that they never slowed down.It was pretty overwhelming to work that volume/complexity of traffic after two weeks off and not being able to ease back into the work flow; especially when we have limited staffing/positions open and with TRACON not following the LOA's and traffic flow directives.We are going to be operating in this limited capacity working 6 days a week 10 hours a day for the next week.  There needs to be better communication and an understanding of the unfortunate circumstances that we will be working under for the next week.  It is completely unsafe to operate business as usual and I'm hoping there will be better coordination going forward.",,,,"Tower Controller reported an airborne conflict resulting in an aircraft having to execute a go-around. Controller cited staffing and traffic volume as a contributing factors.",
1780240,202101,1201-1800,ZZZ.ARTCC,US,,,,,,VMC,,,,,,TRACON ZZZ1; Tower ZZZ,Air Carrier,B737 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Climb,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Pneumatic System,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 181.52; Flight Crew Total 2352.30; Flight Crew Type 2352.30,,Troubleshooting,,,1780240,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,,,Person Flight Crew,In-flight,Aircraft Equipment Problem Dissipated; Flight Crew Overcame Equipment Problem; General Maintenance Action,Aircraft,Aircraft,"Shortly after takeoff from ZZZ-ZZZ1 both flight deck and cabin crew members detected a mild smell of burning oil or engine exhaust. Smell lasted for approximately 3-4 minutes during climb; with the strongest smell in the aft galley area. There was no fire; smoke or mist present; only a strange smell of what I would classify as oil burning. The fumes did not increase and began to stabilize and finally decrease after a few minutes. The crew began the Smoke; Fire or Fumes checklist but the fumes decreased before the checklist could be completed. The cabin crew investigated all lavs; galleys; and PEDs for any source of fumes. Dispatch and Technical Support Maintenance Control were contacted via Commercial Radio and an ELB write up was made. Since the fumes ended and did not appear to emanate from within the cabin or flight deck; I opted to continue the flight to ZZZ1. The flight concluded uneventfully and a written Smoke/Fume Report was filed with ZZZ1 Maintenance. Subsequently; the Chief Pilot was verbally debriefed. The aircraft was removed from service upon arrival at ZZZ1.",,,,"B737 Captain reported a fumes event shortly after takeoff which dissipated after 3-4 minutes allowing flight to continue to its destination.",
1780264,202101,1201-1800,ZZZ.ARTCC,US,,,,26000,,,,,,,,,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,FMS Or FMC; GPS,Descent,Direct; STAR ZZZZZ1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Flight Crew Instrument,,,Training / Qualification; Communication Breakdown; Time Pressure,Party1 Flight Crew; Party2 Flight Crew,,1780264,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,,,Situational Awareness; Communication Breakdown; Distraction; Troubleshooting,Party1 Flight Crew; Party2 Flight Crew,,1780273,Deviation - Altitude Crossing Restriction Not Met; Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,In-flight,Flight Crew Became Reoriented,Human Factors,Human Factors,"We were on the ZZZZZ1 arrival into ZZZ and we had a clearance cross the ZZZ1 VOR at Flight Level 260 and then to descent via the ZZZZZ1. We were in a managed descent with 4000 feet set for the bottom of the ZZZZZ1 arrival. Nearing ZZZ1 I thought that we were high on the profile. I selected open descent intending to level off at FL260 and then continue on profile but I did not select FL260 in the FCU window. The airplane was very light at 113;000 pounds and descended very quickly right through the assigned FL260. I intervened by leveling off and we continued in a managed descent on profile for the remainder of the arrival.My estimation that we were high on the profile was inaccurate due to the fact that the airplane was light and capable of descending very quickly; I had not taken that into consideration. The pilot monitoring was heads down and I did not tell him I was changing the mode of descent from managed to open and explain why I was doing so. Had I done so; he would have caught it. This was my first day back to work after two months of leave. I had prepared to return by studying flows; call; procedures; etc. and had briefed the other pilot hoping to prevent errors from happening.Suggestions - Keep the other guy in the loop. Tell him when making a change especially if he is heads down. Always check the altitude selected when changing modes. Always focus on the next restriction.",,"We were south of ZZZ1 arrival validation completed; arrival briefing completed clearance to cross ZZZ1 at FL260.  We were then cleared to descend via ZZZZZ1 Runway XXL.  The Captain set 4;000 feet in the FCU.  We both verified the altitude selected and the aircraft was in managed decent.  I verified the aircraft was on profile and would cross ZZZ1 at FL260.  I then updated the MCDU with the new ATIS; did an in range and verified arrival gate and set ramp frequency in the number 2 standby radio.  The Captain then said; 'I messed that up'; or something like that.  I didn't realize the Captain had changed modes to open descent and had descended through the FL260 restriction at ZZZ1.  He said he felt the aircraft was not descending quickly enough.  We crossed ZZZ1 approximately 1;000 feet low.  There was no call from ATC.  The Captain then went back to managed descent and we continued to ZZZ without and further incident.Cause - Lack of communication from the Captain letting me know he went to open descent.  Captain had been on extended time off the last 7 months.Suggestions - Communication of mode changes in decent to Pilot monitoring.  Resetting FCU to next altitude constraint when operating in open decent.",,"Air carrier flight crew reported an altitude deviation due to failed crew communication and the Captain's recent extended time off.",
1780282,202101,1801-2400,ZZZ.Airport,US,,,0,,,VMC,,,Night,,,,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; Captain,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,,,,,,1780282,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,,Party1 Flight Crew,,1780286,ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Weight And Balance,,,Person Flight Crew,In-flight,General None Reported / Taken,Environment - Non Weather Related; Procedure; Software and Automation,Procedure,"After an unplanned diversion to ZZZ; we did not deplane since it was a short wait for our departure to ZZZ1. ZZZ Center closed from XA:00Z-XB:30Z for COVID cleaning. Because we did not deplane no passengers or bags left the aircraft. When completing the manifest we were unsure of how to get the clearance and passenger count without the station uploading via ACARS. I called Dispatch to help with some of the numbers like cargo weight and passenger zones. With Dispatch I could get weight for cargo but not zones; for passengers we were able to get the zones. I told the ground crew that if they could figure out the cargo bag count then we would be good. They tried to look into it but they were unable. So with Dispatch's help we got our manifest and had good numbers. After we left the station uploaded a new passenger count and later discovered the new passenger count from the station was about 300 pounds less than our original manifest.The main cause was the fact that the station couldn't upload an ACARS passenger count because they did not scan passenger tickets; everyone stayed on board. This caused an unusual hurdle where we had to figure out a way to get the numbers. But after we got it from Dispatch the station's last minute help with an ACARS upload caused a mix up with the passenger count and weight discrepancy.I should have printed the manifest before starting the new flight on the FMS. We need a way to maintain the passenger zones and cargo report since we don't have paper reports anymore. The close out report only has the total adults and children but not their zones; and the cargo only has total weight and not which bags go where.",,"After an unplanned divert to ZZZ we did not offload because it was a short wait for our departure to ZZZ1. The divert was a result of ZZZ Center going ATC Zero causing us to delay our arrival to our original destination. While completing the manifest we contacted the Dispatcher to get the numbers from our previous flight as they had dropped from our FMS. With Dispatch we were able to get the cargo weights and passenger zones. After we left the station uploaded a new passenger count and we discovered the new passenger count from the station was 300 pounds less than our original manifest.The main cause was the fact that the station couldn't upload an ACARS passenger count because they did not scan passenger tickets; and we no longer have paper PINs in the cockpit from the initial count.We should have printed the manifest before starting the new flight on the FMS.",,"Air carrier flight crew reported that a passenger count and weight and balance error occurred at the diversion airport because the count could not be uploaded through ACARS. The crew stated the flight had to divert due to an ATC Zero Center closure.",
1780300,202101,1201-1800,ZZZ.TRACON,US,,,1000,,,VMC,,,Daylight,,,,Air Carrier,B737 Undifferentiated or Other Model,,,Part 121,IFR,Passenger,,Climb,Vectors,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,System Monitor: Indicating and Warning,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 107.8; Flight Crew Total 6307.75; Flight Crew Type 6307.75,,,,,1780300,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 32; Flight Crew Total 4500; Flight Crew Type 540,,,,,1780306,Aircraft Equipment Problem Less Severe,,N,Person Flight Crew,,Air Traffic Control Provided Assistance; Flight Crew Landed in Emergency Condition; Flight Crew Overcame Equipment Problem; Flight Crew Returned To Departure Airport; General Flight Cancelled / Delayed; General Maintenance Action,Aircraft,Aircraft,"Shortly after takeoff As the PF I experienced intermittent failure of both roll and pitch modes (with no flags; just the disappearance and reappearance in erratic random failures of pitch and roll indications separately) of my flight director during climb through approximately 6;000 ft. Obviously the auto pilot A disconnected and I was unable to reacquire it due to the erratic nature of the problem. Communicating to my FO (First Officer) of the issue; we recognized that his flight director appeared to be operating normally. This allowed us to use autopilot B to reassess our condition. With the auto throttle on with autopilot B the Number 2 throttle advanced rapidly approximately 5 knobs forward of the Number 1 throttle and I returned it to a symmetric condition (the auto throttle disengaged itself as well; Autopilot B still was working). While bringing the throttles to an asymmetric condition to stabilize the thrust setting the Stab Trim Light illuminated; the left fuel pump light of the center tank illuminated (approximately 22;000 lbs of gas in the center tank). We requested to level off at 16;000 ft. and 250 knots and indicated to ATC that we needed a few minutes to access a condition; that we would maintain our flight plan. We executed a transfer of controls to the FO making him the PF as he also communicated with ATC. After consulting the Quick Reference Checklist; it was clear the we had multiple failures not covered by the Quick Reference Checklist. In addition; the MA lights for both Flight Directors were alternating flashing in sequence. I Acquired the appropriate enroute Airinc VHF radio frequency from the chart and phone patched both dispatch and Maintenance Control. With no solution; both Maintenance Control and Dispatch agreed with my decision to divert back to ZZZ as opposed to continuing to ZZZ1 5 hours away in mountainous terrain with automation issues at night and a potential 12 hour+ duty day. FAs (Flight Attendants) were advised; ATC was advised (Requested priority handling and equipment requested to check brakes and tires); company was advised; and an announcement was made to the pax. We used the Landing Distance Normal Configuration chart for our aircraft to obtain landing distance as Saber wouldn't calculate for us the landing performance in our overweight condition at landing (approximately 161;000 lbs). It was my judgement to forego flying for however long it would take to burn 15;000 lbs of fuel to reach landing weight; so I opted to land overweight in light of the distance required from the chart. Once ATC cleared us on a vector heading for approach to land X in ZZZ; I assumed the PF role. Landing was inconsequential and smooth exiting X; X; holding short of X on X while ZZZ Fire assessed our brakes and tires. All normal; proceeded to Gate X.",,"On departure out of ZZZ; the Captain experienced intermittent failure of his flight director. Both his roll and pitch command bars would randomly disappear and reappear without any warning annunciations. Autopilot A disconnected and was unable to reengage as we continued the climb. As the Captain and I began to analyze the situation; we recognized that my flight director appeared to be working normally and the Captain was able to engage Autopilot B. A short period after engaging the autopilot; the autothrottles disengaged as a result of the Number 2 throttle advancing several knob widths forward of the Number 1 throttle. The Captain returned the throttles to a symmetric condition and the autothrottles were reengaged. We had been given a climb to 16;000 ft. and decided to maintain that altitude and our current airspeed of 250 kts. as we continued our flight plan route. The Captain transferred the aircraft control to me; and I kept the radios while he further analyzed the situation and referenced the QRG. I told ATC we were working an issue but required no assistance at this time. The autothrottles once again disconnected as a result of asymmetry and we elected to keep them off for the remainder of the flight. During this time we also notice the MA light for the flight director switches was cycling back and forth from the Captain's side to the FO side. Additionally; the left center tank fuel pump LOW PRESSURE light illuminated with over 20;000 lbs. of fuel in the center tank. Lastly; the STAB OUT OF TRIM light flickered despite any changes in pitch or airspeed. It was clear that we had multiple issues not covered by the QRG; and the Captain quickly tuned the appropriate ARINC VHF radio frequency and established a phone patch with dispatch and Maintenance Control. Since there was no clear solution for our situation; dispatch and Maintenance Control agreed with the Captain's decision to divert to ZZZ as opposed to continuing. This decision was made after the Captain and I discussed the threats involved: automation issues; night landing in mountainous terrain; long duty day. The Captain advised the FAs (Flight Attendants) and made an announcement to the passengers. He then took the primary radio back from me and requested priority handling with ATC in addition to coordinating for aircraft rescue and firefighting to meet the aircraft to check our brakes and tires since we would be landing overweight. The Captain briefed the approach and calculated the landing distance using the Landing Distance Normal Configuration chart for our aircraft since Saber would not calculate at our current weight which was approximately 161;000 lbs. I agreed with the Captain's decision to land overweight; given we had the landing distance; as opposed to holding for almost 2.5 hours to burn fuel. The descent checklist was accomplished; and the Captain took over as the PF once ATC cleared us on a vector for the ILS X. A 30-flap landing was conducted and a normal landing was made. We exited on X; X; and while holding short of X; aircraft rescue and firefighting checked our brakes and tires. With an all normal; we proceeded to taxi to gate X.",,"B737 flight crew reported multiple systems indicating failures; resulting in the decision to execute a return to departure airport and a precautionary landing.",
1780314,202101,,ZZZ.Airport,US,,,,,,,,,,,,,,No Aircraft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Air Carrier,Ramp,,,,,,,1780314,,,,,,,,,,,,No Specific Anomaly Occurred Unwanted Situation,,,Person Other Person,,General None Reported / Taken,Company Policy,Company Policy,"This has been ongoing and nothing has been resolved. X break-room is extremely dirty. Floors have not been swept or mopped. Tables and counters have not been wiped down. If we are to wear mask because of COVID the break-room should remain clean. All the cleaning crew do is take out the trash and that is it and leave everything else filthy.",,,,"Ground employee reported the break-room is not cleaned properly.",
1780317,202101,,ZZZ.Airport,US,,,,,,,,,,,,,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Other Load Planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Air Carrier,Other / Unknown,,,,Human-Machine Interface; Communication Breakdown; Troubleshooting,Party1 Ground Personnel; Party2 Ground Personnel,,1780317,,,,,,,,,,,,Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Weight And Balance,,,Person Other Person,In-flight; Routine Inspection; Pre-flight,General None Reported / Taken,Human Factors,Human Factors,"I received 3 alerts the ramp was attempting to finalize the DSTG with unsecured Hazmat. [I received an error message in the load planning software.]The flight was already off the gate when the ramp lead attempted to finalize I then pulled up the DSTG and witnesses both the second and third attempt at finalization. It was then that the ramp lead noticed the DG was not secured. I called ZZZ operations to request a phone call from the ramp and while on the phone the lead moved the DG from pit 5 to pit 4 which had 40 bags and proceeded to finalize the flight. Around 8 minutes later the lead called and I inquired as to which pit the DG was actually loaded in and I told him I saw it was planned in pit 5 and a witness him try to finalize the flight 2 [times] then saw the DG move to pit 4 after the flight had departed. The lead responded he was told the DG had been loaded into pit 4. After that conversation I told my shift manager and released the final weights.",,,,"Load Planning personnel reported a communication breakdown between Load Planning and Ramp personnel regarding the Hazmat requirement to secure Hazmat cargo in cargo compartment with cargo pax bags. Flight completed an uneventful flight before error corrected.",
