 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

1865826,202201,,,,,,0,,,,,,,,,,Air Carrier,B757 Undifferentiated or Other Model,,,Part 121,,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft Documentation,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,Captain,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown,Party1 Flight Crew; Party2 Maintenance,,1865826,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural MEL / CDL; No Specific Anomaly Occurred Unwanted Situation,,,Person Flight Crew,,General None Reported / Taken,MEL; Procedure,Procedure,"The 757 fleet (and possibly others) has a deferral that allows the aircraft to operate for a specific number of cycles if a passenger cell phone or other electronic device falls down a gap in the cabin sidewall into the cargo pit and cannot be located. Maintenance usually tries to look for the phone; to include disassembling some of the cargo pit panels - but if they can't find it in a 'reasonable' amount of time then a deferral is created and additional flights are authorized.The FAA website says this about devices with lithium batteries: 'Devices containing lithium metal batteries or lithium-ion batteries; including - but not limited to - smartphones; tablets; cameras and laptops; should be kept in carry-on baggage. If these devices are packed in checked baggage; they should be turned completely off; protected from accidental activation and packed so they are protected from damage.'We have provisions for Dangerous Goods being shipped as freight; being used by crew on the airplane; as part of installed equipment; and being carried by passengers or crew on their person; in carry-on bags; and in checked bags. There are no Dangerous Goods provisions providing for lost dangerous goods floating around the airplane somewhere.The concern here is the potential for damage and subsequent fire. We won't even let a passenger move a seat if they drop their phone in the seat - yet somehow; it's okay to drop a phone into the cargo area where it could easily be damaged by the cargo loading system or something else? How is this safe? Or even legal? If a lost device with lithium battery gets crushed and catches on fire; we are not going to be able to fight that fire.I'd like to know specifically what kind of risk analysis (if any) was done for this deferral.",,,,"B757 Captain reported concerns with the deferral of lost lithium battery powered electronic devices lost in the aircraft.",
1865938,202201,1201-1800,ZZZZ.ARTCC,FO,,,,10100,,VMC,,,Daylight,,,Center ZZZZ,Corporate,Challenger CL604,,2,Part 91,IFR,Passenger,,Climb,,Class C ZZZZ,,,,,,,,,,,,,,,,,,,,,,,,Pressurization Control System,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Corporate,Pilot Flying; Captain,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,,,Troubleshooting,,,1865938,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,,N,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Returned To Departure Airport; Flight Crew Took Evasive Action; Flight Crew Requested ATC Assistance / Clarification; General Flight Cancelled / Delayed; General Maintenance Action,Aircraft,Aircraft,"Cabin pressurization seen by crew to increase rapidly. Shallowed climb; consulted QRH. Manual mode momentarily allowed control; then cabin continued to climb with airplane. Amber then Red EICAS (Engine Indicating and Crew Alerting System) illuminated and Passenger Oxygen Masks deployed. Leveled aircraft at 10;100 ft MSL; [requested priority handling]. Vectored for ILS return. No injuries or damage occurred.",,,,"Captain reported cabin pressure controllability issues caused an air turn back and precautionary landing.",
1866018,202201,0601-1200,ZZZ.Airport,US,,,,,,,,,,,,Center ZZZ,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Climb,,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Service; Safety Related Duties,Troubleshooting,,,1866018,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Hazardous Material Violation; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor; Flight Deck / Cabin / Aircraft Event Passenger Electronic Device,,Y,Person Flight Attendant,In-flight,Air Traffic Control Provided Assistance; Aircraft Equipment Problem Dissipated; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Returned To Departure Airport; Flight Crew Overcame Equipment Problem; General Flight Cancelled / Delayed,Human Factors,Human Factors,"Detected an odor onboard the aircraft; similar to burning Lithium Ion battery. After takeoff I noticed there's [smoke] or a cloud around the exit row. After confirming it with a aft FA (Flight Attendant); called the Captain and I told him there's a smoke [area] and I'm going to check it [out]. Put the lights on and I started opening the overhead [bins]; to check if there's anything on fire and also under the seats as well as [asking] the passengers to remove their mask and so they can confirm [if] there's a smell in [area]. One of the passenger sitting in [seat] XX told me he had Lithium Ion batteries in his bag. I grabbed the bag and opened it and I checked the battery however there's smoke coming out of his bag and neither the batteries are hot either. I tried to keep the Captain updated with the same information above. The smell lasted about 3 to 5 minutes and disappeared after that. Then we prepared the cabin for [a precautionary air return].",,,,"Air Carrier Flight Attendant reported burning odor 'similar to burning Lithium Ion battery' during climb. FA investigated the area and determined the 'possible' cause was spare Lithium batteries in passenger carry on bag. Flight executed a safe air return.",
1866109,202201,0601-1200,ZZZ.ARTCC,US,,,4200,,,VMC,Snow; 5,,,2500,,Center ZZZ,Corporate,Small Aircraft; Low Wing; 2 Eng; Retractable Gear,,,Part 91,IFR,Ferry / Re-Positioning,,Takeoff / Launch,Direct,Class G ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Nose Gear,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,,Single Pilot; Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Instructor; Flight Crew Multiengine; Flight Crew Instrument,Flight Crew Last 90 Days 35; Flight Crew Total 34500; Flight Crew Type 8000,,Workload; Situational Awareness; Distraction; Troubleshooting,,,1866109,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Ground Equipment Issue,,N,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Landed in Emergency Condition; Flight Crew Overcame Equipment Problem; Flight Crew Returned To Departure Airport; General Maintenance Action,Equipment / Tooling; Human Factors; Procedure; Aircraft,Human Factors,"In preparation for departure the line service tech asked if I would like to sit in the aircraft as they pulled the aircraft out of the hangar to the ramp. By staying in the aircraft and not assisting with the 'spotting' of the towing I was not able available to double check and verify the readiness of the aircraft. The line service tech therefore forgot to remove the towing adapter. In our normal day to day operations we very seldom if ever require a towing adapter. I therefore departed with the adapter installed in the nose strut. After takeoff and during gear retraction I heard a loud bang; that was the exact time I realized he had forgot to remove the adapter. I performed the various Quick Reference procedures with no positive results. I finally realized that the nose gear was locked in its 3/4 retracted position and decided the only option left was to land and hope that the nose gear was extended sufficiently and secured enough to support the nose weight of the aircraft. After landing I held maximum back pressure on the elevator until a full stop. The nose tire made contact with the runway at approximately 35 knots with very little runway drift. After rolling to a stop I shut both engines; turned off the electrical power and vacated immediately. The local [responders] and fire fighters were ready for action. It was then that I documented that we had sustained almost no damage and proceeded to dolly the nosewheel and remove the aircraft from the now closed runway; but not after contacting the FAA personnel; along with the NTSB for permission. We also contacted them when the aircraft had been removed and allowed the runway to be re-activated from my early call to ZZZ Center to activate a runway closure immediately.",,,,"A small jet pilot reported ramp personnel did not remove the towing adapter when preparing for departure which resulted in the nose gear stuck in a partially retracted position during gear retraction. The reporter was able to land safely with almost no damage.",
1866123,202201,1201-1800,ZZZ.Airport,US,,,200,,,VMC,10,,Daylight,,,Tower ZZZ,Personal,Small Aircraft; High Wing; 1 Eng; Fixed Gear,,2,Part 91,VFR,Training,,Initial Climb,,Class D ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Engine,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,FBO,Instructor; Pilot Flying,Flight Crew Commercial; Flight Crew Flight Instructor; Flight Crew Multiengine; Flight Crew Instrument,Flight Crew Last 90 Days 80; Flight Crew Total 700; Flight Crew Type 700,,Time Pressure; Distraction; Troubleshooting; Workload,,,1866123,,,,,,,,,,,,Aircraft Equipment Problem Critical,,,Person Flight Crew,In-flight,Air Traffic Control Issued New Clearance; Flight Crew Landed in Emergency Condition; Flight Crew Returned To Departure Airport; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Overcame Equipment Problem,Aircraft,Aircraft,"In the upwind Rwy XXL; at 200 ft. instantaneous loud popping and vibration was heard by both pilots. RPM maintained 2150 RPM's and both engine instruments were in green. Immediately upon noticing possible engine problem I as the Instructor took over 'flight controls' and completed a 'positive exchange of controls'. I maintained positive aircraft control flying the upwind. I communicated with ZZZ Tower immediately with a 'Pan-Pan' call and was given an immediate clearance to return to Airport and made the decision to start turn back towards Airport environment. ZZZ Tower offered assistance to any Runway; I declined. Requested Runway XXR; was cleared to land; landed XXR and landed safely. Taxied back to parking without incidence.",,,,"Flight Instructor reported while on upwind there was excessive engine vibration and a 'loud popping' noise so they returned to the airport.",
1866185,202201,1801-2400,ZMA.ARTCC,FL,,,,18000,,,,,,,,Center ZMA,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Descent,,Class E ZMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,Center ZMA,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Cruise,,Class A ZMA; Class E ZMA,,,,,,,,,,,,,,,,,,,,,,,,Facility ZMA.ARTCC,,Government,Enroute,,Air Traffic Control Time Certified In Pos 1 (yrs) 0,,Distraction; Fatigue,,,1866185,,,,,,,,,,,,Airspace Violation All Types; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Air Traffic Control,In-flight,Air Traffic Control Issued Advisory / Alert; Air Traffic Control Issued New Clearance,Procedure; Human Factors; Staffing,Procedure,"Aircraft X was a PBI lander on the SHRVY1 arrival. The Pilot checked on with normal speed until RACNO; then published speed. The Pilot asked for normal speed along the arrival; to which I approved until TARTY (the PBI boundary fix); then published speeds. Aircraft Y was a ZZZ-TPA flight at FL180; on course.As Aircraft X made the turn at RACNO; the conflict alert began to flash. Aircraft X was already leaving FL190 in a descent per the arrival; and the separation was not lost at this point. I asked Aircraft X to expedite through and report leaving 17;000. I then called the traffic to him and asked him to report Aircraft Y in sight. He reported the aircraft insight as he entered the 3 mile bubble around Aircraft Y. I instructed him to maintain visual separation to which he responded with the appropriate response. No further incident occurred between these aircraft.This was a mistake on my part. I had a hoop on Aircraft Y specifically for this traffic and didn't get back around to Aircraft X to stop him due to the volume of the sector. I need to be more proactive and attentive with the low flights that cross the SHRVY arrival.Fatigue likely played some role in this event as our entire area has worked incredibly hard and for many hours during the holiday week. We've also had many controllers out; lowering our staffing even more. This is in no way an excuse for the error; merely a factor.",,,,"MIA Center Controller reported a loss of separation between to IFR aircraft.",
1866193,202201,0601-1200,ZID.ARTCC,IN,,,30,,,,,,,,,Center ZID,Personal,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,,,Part 91,IFR,Personal,,,Other Instrument Approach,Class E ZID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facility ZID.ARTCC,,Government,Enroute,Air Traffic Control Developmental,,,,,,1866193,,,,,,,,,,,,ATC Issue All Types; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter CFTT / CFIT,,,Automation Air Traffic Control; Person Air Traffic Control,In-flight,Air Traffic Control Issued New Clearance; Flight Crew Returned To Clearance,Airspace Structure; Environment - Non Weather Related; Human Factors,Human Factors,"Aircraft X flew the RNAV RWY 10 approach at PKB followed by the missed approach with holding. The missed approach procedure was climbing to 030 direct to CAPNA and hold east of CAPNA. The pilot checked in on the missed level at 030 direct CAPNA. He entered the hold at CAPNA. After a couple of minutes; I noticed the MSAW (Minimum Safe Altitude Warning) flashing 031 and when I saw it I assumed the computer had his trajectory going eastbound; thinking that he was going to continue eastbound toward CKB where the MVA's get higher. I asked my Radar Controller where the 031 MVA area began; and after we pulled up the TAV map; it appeared that the aircraft may have already entered the 031 MVA area on the map. Upon seeing this; the Radar Controller climbed the aircraft to 040 without incident. I am not sure if the aircraft flew in the higher MVA area or not. I think we both assumed that since the missed approach procedure specified 030; that it would be a good altitude. Use our TAV map for altitudes; not the ones depicted on the approach plate.",,,,"Center Controller reported an aircraft that entered a MVA at a lower altitude.",
1866251,202201,0001-0600,ZZZ.ARTCC,US,,,,17000,,IMC,Rain,,,,,Center ZZZ,Air Carrier,B767 Undifferentiated or Other Model,,2,Part 121,IFR,,,Climb,,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Hydraulic Main System,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 165; Flight Crew Type 787,,Troubleshooting,,,1866251,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Flight Crew Instrument,Flight Crew Last 90 Days 141; Flight Crew Total 4302; Flight Crew Type 3350,,Troubleshooting,,,1866270,Aircraft Equipment Problem Critical; Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Weather / Turbulence,,N,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Landed in Emergency Condition; Flight Crew Overcame Equipment Problem; Flight Crew Requested ATC Assistance / Clarification; General Maintenance Action,Aircraft; Weather,Aircraft,"Left HYD QTY EICAS (Engine Indicating and Crew Alerting system) level at 17;000 ft. Quantity indicated 0. Pressure normal. Lost left A/P (Autopilot). [Requested priority handling] and requested climb to [FL] 280 to VMC. Stopped climb in at FL 230 VMC. Ran L HYD QTY checklist. Weather good at ZZZ so continued to uneventful landing on XXR.",,"In climb out passing 17;000 ft; L HYD SYS quantity EICAS illuminated. We requested climb to FL 280 to maintain VMC and [requested priority handling]. Completed HYD QTY L checklist and proceeded to ZZZ. Contacted Dispatch; checked landing distance; and systems affected. Performed Arrival to ILS XXR to ZZZ and normal landing.",,"Flight Crew reported loss of left hydraulic system during climb. The crew continued to destination airport and made a safe landing.",
