 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

1947011,202211,0001-0600,ZZZ.Tower,US,,,,,,VMC,,,Daylight,,,,Air Carrier,Regional Jet 200 ER/LR (CRJ200),,2,Part 121,IFR,Passenger,,Takeoff / Launch,,,,,,,,,,,,,,,,,,,,,,,,,,Engine Air Pneumatic Ducting,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,,,,1947011,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Weight And Balance; Inflight Event / Encounter Fuel Issue,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Returned To Departure Airport; Flight Crew Requested ATC Assistance / Clarification; General Flight Cancelled / Delayed,Aircraft,Aircraft,"14th Stage Bleed Duct Warning followed by right and left 10th Stage Bleed Duct Warning messages. [Requested priority handling] and held to burn fuel to be under landing weight. Returned to field.",,,,"Pilot reported bleed air leaks after take off. The flight crew returned to departure airport.",
1947026,202211,0601-1200,ZZZ.Airport,US,,,,,,VMC,10,,,,,TRACON ZZZ,Air Taxi,Beechjet 400,,2,Part 135,IFR,Passenger,,Initial Approach,,Class C ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Flap Control (Trailing & Leading Edge),,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Taxi,Captain; Pilot Not Flying,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,,,,1947026,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,In-flight,Flight Crew Landed in Emergency Condition,Aircraft,Aircraft,"Moved flap handle from 0 to 10 degrees; FLAP ASYM light illuminated; flaps did not extend far but Flap Position Indicator stayed at 0. Ran the checklist and landed. [Advised ATC] out of caution.  This was a repeat mechanical failure of this system. I hesitate to make any recommendation at this point.",,,,"BE-400 flight crew reported a Flap Control malfunction on approach.",
1947202,202211,1201-1800,TPA.Tower,FL,,,,1500,,,,,Daylight,,,,Air Carrier,Large Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,IFR,Passenger,,Climb,,Class B TPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,,,,Cruise,,Class B TPA,,,,,,,,,,,,,,,,,,,,Airport / Aerodrome / Heliport; Aircraft / UAS,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Flight Crew Instrument,Flight Crew Last 90 Days 248; Flight Crew Type 228,,,,,1947202,,,,,,,,,,,,Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS),,,Person Flight Crew,In-flight,General None Reported / Taken,Human Factors,Human Factors,"On initial departure passing through approximately 1;500 ft.; I noticed that we were overtaking an object. I immediately believed it to be a single bird; but it was not maneuvering as birds normally do. Rather; it tracked down the left side of the aircraft in a straight line; exactly in speed and direction of our departure travel. Confident that the object would remain clear; I did not need to maneuver the aircraft; but the object did appear to be well within 500 ft. off the left side and just below our flight path. As we passed abeam; I determined that the object was definitely not a bird. It was dark in appearance; and it had a flat and circular shape. It appeared to be hovering; and it looked very much like a drone.I do not feel that we did anything wrong; or that we could have mitigated the threat any more than we did.  This report is just a Safety concern.",,,,"Captain reported seeing a drone flying near the aircraft on initial departure.",
1947227,202211,,EWR.Airport,NJ,,,,5000,,VMC,,,,,,TRACON N90,Air Carrier,B737 Next Generation Undifferentiated,,2,Part 121,IFR,Passenger,,Descent,,Class B EWR,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRACON N90,Air Carrier,B787 Dreamliner Undifferentiated or Other Model,,,Part 121,IFR,Passenger,,Descent,,Class B EWR,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 190; Flight Crew Type 5367,,,,,1947227,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 160; Flight Crew Type 2174,,,,,1947236,ATC Issue All Types; Deviation - Altitude Excursion From Assigned Altitude; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter Loss Of Aircraft Control; Inflight Event / Encounter Wake Vortex Encounter,,,Person Flight Crew,In-flight,Air Traffic Control Issued New Clearance; Flight Crew Regained Aircraft Control; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Took Evasive Action,Environment - Non Weather Related; Procedure,Procedure,"While being vectored into EWR we were following a 787. At 5000 ft. the aircraft started to roll slowly to the left as we encountered the wake from the 787. The autopilot kicked off and the FO (First Officer) being the Flying Pilot grabbed the controls. He was startled a bit and neutralized the controls while starting to do the [upset] callouts. This delay caused us to roll to 45-50 degrees of bank and lost about 300 ft. We advised New York Approach Control and they gave us a heading and altitude. I checked in with the cabin crew and everyone was ok. The flight continued with no further issues.",,"We were vectored off the PHLBO3 arrival; descended to 5000 ft. on a northerly heading [when] without warning we experienced wake turbulence that rolled the aircraft to the left 50-60 degrees. I reacted by quickly interpreting the instruments; saying 'push; roll; thrust; stabilize' and correcting [with] a momentary push followed by rolling back to the right. As we stabilized the aircraft; the Captain contacted ATC and informed them of the wake turbulence event. We descended about 300-400 ft. and were left of assigned heading by approximately 30 degrees. We were given a new heading and told that we were following a [B787] Dreamliner. We had not been informed or cautioned about the preceding aircraft type and we never had reason to believe spacing was a concern. I re-engaged the autopilot and were vectored for a visual approach to 22L and landed without further incident.",,"B737NG flight crew reported encountering wake turbulence on descent into EWR in trail of a B787 that resulted in a 45-50 degree bank.",
1947273,202211,1801-2400,ZZZ.TRACON,US,,,,11000,,,,,,,,,Air Carrier,A319,,2,Part 121,IFR,Passenger,,Descent,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,,,Workload; Troubleshooting,,,1947273,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,,,Person Flight Crew,In-flight,Aircraft Equipment Problem Dissipated; Flight Crew Overcame Equipment Problem; General Maintenance Action,Aircraft,Aircraft,"During descent at 11000 detected an odor like crayons or wax. It was brief and cleared up on its own. I queried Flight Attendants (FAs) if they smelled anything. They replied not really; perhaps a brief musty smell. I inquired if it was like dirty socks or a gym bag. They said not really. We continued to landing and on gate arrival we detected the odor again.  First Officer (FO) and I opened cockpit windows and figured we had experienced a fume event. We notified maintenance and made a write up in logbook. We discussed with local ZZZ maintenance folks. I again spoke with FAs after deplaning more about it. They noticed it more on landing and arrival and agreed more with the crayon like smell. They each said they felt fine as well as FO and each left as it was end of sequence. The smell was definitely notable in the entry was even with jetway attached and door open. I then followed fumes protocols in FOM and Safety website. I filled out the fumes form and called duty pilot and had an additional phone conversation with Maintenance Control. Fumes events should be brought more to the forefront in recurrent training as there is a lot of concerning issues that can present them selves post event.",,,,"Air Carrier Captain reported a fume event during descent which dissipated briefly thereafter. Upon gate arrival Maintenance was requested and logbook entry was submitted",
1947275,202211,0601-1200,ZZZ.ARTCC,US,,,,32000,,,,,,,,Center ZZZ,Air Carrier,A319,,2,Part 121,IFR,Passenger,,Cruise,,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,Time Pressure; Troubleshooting; Workload,,,1947275,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Weight And Balance; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Illness / Injury; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,,,Person Flight Crew; Person Flight Attendant,In-flight,Air Traffic Control Provided Assistance; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Overcame Equipment Problem; Flight Crew Diverted; Flight Crew Landed in Emergency Condition; General Maintenance Action; General Flight Cancelled / Delayed,Aircraft,Aircraft,"On Day; I was operating a flight from ZZZ to ZZZ1 as pilot monitoring. While cruising at FL320; one or two of the Flight Attendants called the Captain on the intercom to report a strong odor/fume in the aft cabin area. At least two of the three Flight Attendants also reported being light-headed and having headaches as a result of said fume. Therefore; the Captain decided to divert to the nearest suitable airport in the area. Given that we had to land as quickly as possible; we could not waste time (fume onboard) to burn fuel for a landing below max landing weight. Although we were heavy at the time of the fume event; we had to get on the ground safely as quickly as possible. The Captain had me [request priority handling to a suitable airport] as we prepared for an overweight landing. The approach and landing were executed by the Captain without incident. Based on anecdotal references from other crew members; the A320 seems to have more fume events than any other fleet type at Company A. I would like to see a joint effort between Airbus and Company A in working out a permanent fix for the recurring issue of smoke/odor/fumes onboard A320 jets.",,,,"A319 First Officer reported a fumes event during cruise. The flight crew diverted to a suitable airport where a safe landing was executed and Maintenance was requested.",
1947331,202211,,LAX.Tower,CA,,,,2400,,,,,,,,Tower LAX,Air Carrier,Large Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,IFR,Passenger,,Final Approach,,Class B LAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,,,,,,Class B LAX,,,,,,,,,,,,,,,,,,,,Aircraft / UAS; Airport / Aerodrome / Heliport,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,,,,1947331,,,,,,,,,,,,Airspace Violation All Types; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural Published Material / Policy,Vertical 600,,Person Flight Crew,In-flight,Flight Crew Requested ATC Assistance / Clarification,Human Factors,Human Factors,"Aircraft X on final approach to Runway 25L at approximately 2;400 ft. we passed under what appeared to be a stationary drone hovering at approximately 3;000 ft. The drone appeared to be grey in color and in the shape of a 5 point star and was situated directly on centerline. We immediately advised tower and landed without incident.",,,,"Air carrier Captain reported flying under a UAS on final approach. ATC was notified and the plane landed without incident.",
1947366,202211,1201-1800,ZZZ.Airport,US,,,0,,,VMC,,,Daylight,,,,Personal,PA-28 Cherokee/Archer/Dakota/Pillan/Warrior,,,Part 91,None,Personal,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroplane Flight Control,,,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Personal,Single Pilot; Pilot Flying,Flight Crew Instrument; Flight Crew Flight Instructor; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,Flight Crew Last 90 Days 190; Flight Crew Total 3780; Flight Crew Type 150,,Situational Awareness; Training / Qualification,,,1947366,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy,,N,Person Flight Crew; Person Maintenance,Routine Inspection,General Maintenance Action,Aircraft; Human Factors,Human Factors,"I unintentionally deviated from a maintenance manual requirement to have flight controls re-balanced following paint. Under part 43 Appendix A (c)(10) I painted some components of my aircraft including ailerons to preserve them until I could arrange to have the aircraft completely painted. I believed at the time the work I had done was within the scope of this regulation and not contrary to good practices. After a discussion with a local mechanic; we determined that such painting required the ailerons to have a balance check done. I was not aware of this requirement when I painted the ailerons; and I should have been. I arranged for the mechanic's assistance in getting the ailerons removed so that they could be balanced properly before flight. During future preventive maintenance I perform; I will seek opinions from more than one mechanic before attempting to perform preventive Maintenance to make sure what I am doing is both safe and legal. I also plan to use the aircraft maintenance manual to ensure what I am doing is approved by the manufacturer.",,,,"Pilot reported a failure to rebalance flight controls after painting. The aircraft was removed from service until rebalancing could be accomplished.",
