 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

2180513,202411,1201-1800,MMFR.ARTCC,FO,,,,,,,,,,,,,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,FMS Or FMC; GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Air Carrier,Dispatcher,,,,Distraction; Communication Breakdown; Time Pressure; Workload,Party1 Dispatch; Party2 Other,,2180513,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; No Specific Anomaly Occurred Unwanted Situation,,,Person Dispatch,,General None Reported / Taken,Aircraft; Airport; Company Policy; Environment - Non Weather Related; Staffing,Staffing,"Flight encountered light volcanic ash during descent into MMMX on the ENAGA3A arrival between FL200 to 17000ft AGL. Aircraft was taken OTS (Out of Service).  Cause: Workload. The desk has all of the ZZZ-MEX turns. In addition; two ZZZ-MGA turns; ZZZ-XPL; and ZZZ1-GUA. All those segments are at max payload and weight restricted based on max structural landing weight which requires additional coordination with the Captain and Load Planning. Popocatepetl was erupting and creating additional work modifying arrival and departure routes for ash avoidance. There were also two flight segments with extensive maintenance delays. This led to task saturation which created some loss of situational awareness.  Suggestions: I was task saturated with no time to send a help message. This was due to desk being overloaded with too many segments that require extra time due to weight restrictions and difficult airports. On a routine day without weather or maintenance issues it still a hefty workload. Previous Help messages sent from the division have had uneven responses. Workload issues in the division is a continuous issue.",,,,"Air carrier Dispatcher reported frequent task saturation while over seeing flights was further complicated by the presence of volcanic ash in the flights vicinity.",
2180560,202411,1801-2400,ZZZ.Tower,US,,,,,,,,,,,,Tower ZZZ,,Challenger 300,,2,,IFR,,,Climb,,,,,,,,,,,,,,,,,,,,,,,,,,APU Fire/Overheat Warning,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,,Captain,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Flight Crew Instrument,,,Time Pressure; Workload,,,2180560,,,,,,,,,,,,Aircraft Equipment Problem Critical; Flight Deck / Cabin / Aircraft Event Other / Unknown,,,Person Flight Crew,In-flight,Flight Crew Diverted; Flight Crew Landed in Emergency Condition; Flight Crew Overcame Equipment Problem; General Flight Cancelled / Delayed,Aircraft,Aircraft,"APU FIRE indication. Followed checklist and [advised ATC]; diverted for a safe landing in ZZZ.",,,,"Corporate pilot reported an APU fire and a diversion to a nearby airport.",
2180578,202411,,ZZZ.ARTCC,US,,,,24000,,,,,,,,Center ZZZ,Air Carrier,A320,,2,Part 121,IFR,Passenger,,Cruise,,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Hydraulic System,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 121.38; Flight Crew Total 1547.72; Flight Crew Type 1547.72,,,,,2180578,,,,,,,,,,,,Aircraft Equipment Problem Critical,,,Automation Aircraft Other Automation,,Air Traffic Control Provided Assistance; Air Traffic Control Issued New Clearance; Flight Crew FLC complied w / Automation / Advisory; Flight Crew Overcame Equipment Problem; Flight Crew Landed in Emergency Condition,Aircraft,Aircraft,"At approx. 10 mins from top of descent aircraft generated green system low pressure ECAM. We completed the ECAM 'to do' items and reviewed the non-normal checklist. Contacted dispatch and requested a phone patch with maintenance control; after concluding call we [requested priority handling] with ATC and advised we would need Runway XX at ZZZ with maintenance standing by. At this point I briefed the lead flight attendant using the brief and followed that with an announcement to the passengers explaining the situation and why there would be emergency personnel standing by. Due to the nature of the failure advised ATC we would need to stop on the runway and be towed to the gate. We were given vectors to an approx. 10 mi final; extended the landing gear using the emergency gear extension checklist and completed a normal approach and landing.",,,,"A320 Captain reported a loss of green hydraulic system prior to top of descent. Crew performed checklists and landed normally.",
2180702,202411,0601-1200,ZZZ.Airport,US,,,0,,,,,,,,,Tower ZZZ,Air Carrier,Regional Jet 550 ER/LR (CRJ550),,2,Part 121,IFR,Passenger,,Takeoff / Launch,,,,,,,,,,,,,,,,,,,,,,,,,,Turbine Engine,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Check Pilot; Captain; Pilot Not Flying,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,,,Time Pressure,,,2180702,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; First Officer,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,Time Pressure,,,2180700,Aircraft Equipment Problem Critical,,,Person Flight Crew,In-flight,Flight Crew Rejected Takeoff; Flight Crew Returned To Gate; General Maintenance Action; General Flight Cancelled / Delayed,Aircraft; Software and Automation,Aircraft,"Before takeoff we confirmed all performance data was set. Entered the runway; and at about 80kts I felt a yaw to the right (like an engine failure); looked down and saw that one engine had accelerated to normal thrust while the other was still at FLEX for takeoff. I made the decision to discontinue the takeoff for safety of flight and preformed a rejected takeoff. We taxied to a holding spot and ran our QRH and called maintenance. We returned to the gate and wrote up the engine issue and the rejected takeoff. Cause: Possible equipment malfunction; unsure. On the takeoff roll time is limited so a factor was time and the necessity of a quick decision. No suggestions to prevent an unknown maintenance issue",,"Taking off runway XXL our thrust setting showed 8-10% difference and captain decided to abort takeoff prior to v1.Cause: Possible coding error that sent one engine into normal takeoff and left the other in flex setting.Suggestions: Implement procedure that includes it as go/ no go decision.",,"CRJ550 flight crew reported one engine failed to accelerate to normal thrust during takeoff roll resulting in aircraft yawing motion. Flight crew rejected takeoff and returned to the gate.",
2180716,202411,0001-0600,ZZZ.Tower,US,,,,,,VMC,,,Night,,,Tower ZZZ,Air Carrier,EMB ERJ 170/175 ER/LR,,2,Part 121,IFR,Passenger,,Final Approach,,Class C ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; Captain,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,Human-Machine Interface; Situational Awareness,,,2180716,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Unstabilized Approach,,,Person Flight Crew,In-flight,Flight Crew Executed Go Around / Missed Approach,Human Factors,Human Factors,"Below 500 feet aircraft deviated from glide slope too low we receive glide slope pronunciation; and four red became visible on the pappies. Captain called go round and a normal go round was performed. We remained in the pattern and came back to land without incident.Root cause: Improper power management.Suggestion: Better power management on approach.",,,,"EP45 flight crew reported an unstabilized approach resulting in a go-around and subsequent second safe landing.",
2180953,202411,1801-2400,,,,,0,,,,,,,,,,Air Carrier,A321,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gate / Ramp / Line,,Air Carrier,Vehicle Driver,,,,Situational Awareness,,,2180953,,,,,,,,,,,,Ground Event / Encounter Ground Equipment Issue; Ground Event / Encounter Loss Of Aircraft Control,,,Person Ground Personnel,Taxi,Aircraft Equipment Problem Dissipated; General Maintenance Action,Equipment / Tooling; Human Factors,Equipment / Tooling,"Gate XX is down so we were tasked to Gate XY to push. Crew chief told us we're loading and pushing with air start. I walked out of Gate XY gatehouse and everything was already hooked up. After loading; Gate XY crew chief came out and took his bag from the huff and I saw my crew chief argue with Gate XY crew chief over the bag. Gate XY crew chief gave me the pin and I put it back into the plane and the tow bar was still connected and visually looked at the handle pin for the tow bar. The tire was high and I lowered it. After air start clearance we pushed. Pushing tail south; the tow bar disconnected as I was steering south and headset broke. And the plane slowly rolling and stop on its own. Went back to gate to crew chief but he wasn't there. Went to Gate XX to get his headset came back to Gate XY and customer service manager was present and pilot stated maintenance on way. They check it was clear no damage to tow bar or plane and plane took off.Cause: I don't know. Went back to gate to the crew chief but he wasn't there. Went to gate XX to get his headset came back to Gate XY and customer service manager was present and pilot stated maintenance on way. They check it was clear no damage to tow bar or plane and plane took off.",,,,"Ground personnel reported the tow bar disconnected from the aircraft during pushback and their headset broke; resulting in the aircraft rolling uncommanded until it stopped on its own.",
2181016,202411,0601-1200,ZZZ.TRACON,US,,92,,3500,,VMC,10,,Daylight,10000,,TRACON ZZZ,Personal,Skyhawk 172/Cutlass 172,,1,Part 91,VFR,Personal,,Takeoff / Launch,Direct,Class C ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Electrical Power,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Captain; Pilot Flying; Single Pilot,Flight Crew Private,Flight Crew Last 90 Days 25.6; Flight Crew Total 92.6; Flight Crew Type 92.6,,Situational Awareness; Distraction; Communication Breakdown; Workload,Party1 Flight Crew; Party2 ATC,,2181016,,,,,,,,,,,,Aircraft Equipment Problem Critical,,,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew FLC complied w / Automation / Advisory; Flight Crew Requested ATC Assistance / Clarification,Aircraft,Aircraft,"I just wanted to describe what had occured at ZZZ this morning between XA-XD am with Aircraft X. Normal procedure; following the checklist to start the engine and perform the necessary run up. Voltage was reading perfectly fine at 28-28.1 Volts. Amps were positive and all systems were green. Started my taxi towards Runway XX with everything still performing normal. During takeoff and full throttle I noticed the voltage started to drop as low as 23.6 Volts. I requested ZZZ Tower for a turn back around and got cleared to land at Runway XY with no necessary declaration of emergency. Landed safely and got set up to try and take off again at Runway XX as the voltage came back to 28.1 Volts at the Hold Short Line. However; as I pulled power to 1000 RPMs while holding short of Runway XX; it immediately dropped to 24 Volts. That indicated to me some sort of abnormality in the system; so I aborted the takeoff all together; and requested Tower to return me back to the FBO at ZZZ and I contacted 2 CFIs at ZZZ1. Via Person A's instructions; I did a run up again and sent him a video of the voltages present at 1800 and 2200 RPMs and based on those results was told to continue the flight because this is fairly normal to see with Aircraft X; especially. I was also informed that if the voltage was to drop even lower then to turn off all Avionics; Master Switch and Unnecessary Lights to preserve battery life enough to get back to ZZZ1. I took off and got up to altitude (3500 MSL). I contacted ZZZ Departure and kept my avionics on until I got transferred to ZZZ approach. Simultaneously to getting transferred to ZZZ Approach; the voltage started to break below 24 Volts and amps were still showing a slight negative indication. This is where I had to inform ZZZ Approach that I will have to turn my Avionics and Lights off until I reach ZZZ2 airport in which I will contact them again and request to transfer to ZZZ3 Tower. When everything was turned off voltage stayed constant between 23.8-24 volts. Once I was near ZZZ2 and within range of ZZZ1; I turned my avionics back on and the voltage dropped to 22.9 volts. I re-established and terminated communication with ZZZ Approach and established communication with ZZZ3 Tower and touched down with the voltage reading 22.7 volts on Runway XZ. I taxiied to parking and shut down the aircraft as normal and reported my flight to all necessary CFIs and other proper authorities.",,,,"C172S pilot reported an electrical malfunction that forced the pilot to reduced the aircraft's electrical load in-flight.",
2181020,202411,1201-1800,ZZZ.Tower,US,,1,,,,VMC,10,,Daylight,,,Tower ZZZ,Personal,M-20 K (231) / Encore,,1,Part 91,None,Personal,,Initial Approach,None,Class D ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tower ZZZ,,Cessna Aircraft Undifferentiated or Other Model,,1,Part 91,,,,Initial Approach,,Class E ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Pilot Flying; Single Pilot,Flight Crew Instrument; Flight Crew Private,Flight Crew Last 90 Days 21; Flight Crew Total 519; Flight Crew Type 266,,,,,2181020,,,,,,,,,,,,Conflict NMAC,Horizontal 0; Vertical 300,,Person Flight Crew,In-flight,Flight Crew Took Evasive Action,Human Factors,Human Factors,"After tower instructed me to go around due to lack of adequate spacing; I was following a Cessna on the upwind who had been instructed to extend his upwind by a mile before turning crosswind. Tower cleared another Cessna to depart and instructed him to extend his upwind a mile as well. The second Cessna did not follow the instruction and turned a normal crosswind. I saw the Cessna converging towards me and descended quickly to avoid what looked to be a mid-air collision had I not done so.",,,,"Pilot reported a NMAC with another aircraft while in the traffic pattern of a towered airport.",
