 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

2198935,202412,1801-2400,ZZZ.Airport,US,,,,5000,,VMC,,,Night,,,,Corporate,Citationjet (C525/C526) - CJ I / II / III / IV,,2,Part 135,IFR,Passenger,,Initial Climb,SID ZZZZZ,Class B LAS,,,,,,,,,,,,,,,,,,,,,,,,Gear Extend/Retract Mechanism,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Corporate,Pilot Not Flying,Flight Crew Multiengine; Flight Crew Flight Instructor; Flight Crew Instrument; Flight Crew Commercial,Flight Crew Last 90 Days 67.7; Flight Crew Total 1640.4; Flight Crew Type 67.4,,Situational Awareness; Workload; Troubleshooting; Distraction,,,2198935,Aircraft X,Flight Deck,Corporate,Captain; Pilot Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 75; Flight Crew Total 9000; Flight Crew Type 200,,Workload; Troubleshooting; Situational Awareness; Distraction,,,2198940,Aircraft Equipment Problem Critical,,,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Returned To Departure Airport; Flight Crew Overcame Equipment Problem; Flight Crew Landed in Emergency Condition; General Flight Cancelled / Delayed,Aircraft,Aircraft,"We were departing ZZZ for ZZZ1. I was the pilot not flying for this leg. We taxied out from the FBO via taxiway 1 and turned right onto Runway XXR for departure. During climb out; the left main gear would not retract. We asked ATC for delay vectors to sort out the issue. After cycling the gear a half dozen times; we ran the emergency checklist for gear not retracting and tried resetting the gear retract circuit breaker. This did not resolve the issue. We decided to [request priority handling] and return to ZZZ to land. The landing was uneventful. Emergency vehicles were rolled and did a visual inspection of the left main gear which was intact. After taxiing back to the FBO; we got out of the plane and inspected the left main gear. The uplock sensor pin appeared bent and some slight skin damage inside the wheel well was noted. There was no damage to the tire or gear door. We did not hear or feel anything during taxi or takeoff.",,"Did what seemed a normal takeoff from Runway XXR and taxiway 1. Was cleared for takeoff. Cleared for traffic in front of us and on final as I turned the aircraft onto the runway; completed the checklist below the line; put my head down while turning to turn on pitot heat and lights. Looked up again as continuing my right turn on the runway and checked the flaps; airspeeds set; spoilers; trims and as I straightened out on the runway; verified runway alignment and synced the heading bug. Took off with out noticing any deviation or collisions; put gear up after rotation and did not get a secure light for the LH MLG light. Cycled the gear a couple more times with no success. Ran the emergency checklist and [requested priority handling] with ATC and asked to come back and land. Landed with no events; taxied clear of the runway and had emergency crews assess if there was any damage so I could taxi back to the FBO. After shutdown noticed the unlock pin had been damaged and bent down from some sort of impact. Asked the passengers if they noticed or heard anything funny while we were taking off and they replied no; just as we both did.",,"Cessna Citation CJ4 flight crew reported that; on departure; the left main landing gear failed to retract. After several unsuccessful attempts to fully retract the landing gear; a return to the departure airport was accomplished.",
2198951,202501,1201-1800,ZZZ.Airport,US,,,,,,VMC,Turbulence; 10,,Daylight,9999,,Tower ZZZ,FBO,Skyhawk 172/Cutlass 172,,2,Part 91,VFR,Training,,Takeoff / Launch,None,Class C ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Pilot Flying; Trainee,Flight Crew Student,Flight Crew Last 90 Days 20.3; Flight Crew Total 20.3,,Training / Qualification,,,2198951,Aircraft X,Flight Deck,FBO,Pilot Not Flying; Instructor,Flight Crew Instrument; Flight Crew Flight Instructor; Flight Crew Commercial,Flight Crew Last 90 Days 108; Flight Crew Total 639; Flight Crew Type 639,,Training / Qualification,,,2200217,Ground Event / Encounter Weather / Turbulence; Ground Event / Encounter Loss Of Aircraft Control,,,,,Flight Crew Regained Aircraft Control; Flight Crew Took Evasive Action,Procedure; Weather; Human Factors,Human Factors,"This was during a PPL lesson with my CFI. We were cleared for take off from ZZZ Tower departing run heading. There were wind and gust conditions. I had my ailerons turned in to the crosswind with some rudder. I pushed full throttle as we started down the runway. Close to 55 kts I began to rotate up to takeoff. We skid a little right. As a student pilot I panicked a little and over corrected with too much left rudder. My CFI and I think that gust played a factor but it happened quickly. Either way the over correction of left rudder caused us to turn hard left towards the grass. This sharp turn coupled with me rotating out caused me to freeze up a little as I have never had an issues with take offs before and was unsure as to what was happening. My CFI quickly called flight controls. I alleviated flight controls to her and she was able to pull up and correct our departure. I do not remember or believe that any wheels touched the grass but once we had started our ascent she had me look out the window and we could see the left wheel had some bad balding. We radioed ZZZ approach and immediately came back to land. We landed safely; taxied back to the flight school hangar and ended the lesson. No injuries and no damage to the plane outside of the balding on the left tire. Again the incident happened very quick. On debrief we agreed that the main cause of the issue was me over correcting the left rudder causing the sharp turn. Wind and gust probably did not help but we cannot remember exactly if and when a gust came. It was a very eye opening experience as a student pilot and I take full responsibility for the error. I am grateful for my CFIs quick thinking and ability to correct course and prevent a worse outcome.",,"Description:  Improper application of rudder/crosswind corrections during takeoff roll.ZZZ ATIS:  Information G; VFR; Wind 310/11.Runway assigned by ground control - Runway XX; X;XXX feet.The flight was intended to practice traffic patterns and takeoff and landings at ZZZ1 (local non-towered airport). Pre-flight; startup; taxi and run-up were normal. While taxiing; I briefed student on crosswind takeoff techniques. The student told me he was familiar with crosswind takeoffs as he had done them previously with his primary instructor. As we arrived at the hold short; we conducted a thorough takeoff briefing.When cleared to takeoff off winds were reported from 310 degrees; no gusts. Once on the center line; the student applied full throttle and wind correction for a left-to-right crosswind.  At approximately 50 knots he overcompensated for drift with a large amount of left rudder.  The aircraft turned quickly to the left and began deviating towards the runway edge.  I quickly added rudder inputs to stop the left drift while simultaneously announcing 'I have flight controls'. Student immediately took his feet and hands off the controls.Since the airspeed was above takeoff speed I rotated normally.  Once safely airborne and climbing out; I corrected back to the runway center line for departure.  At approximately 3000 feet and level in cruise; I transferred the controls back to the student.  After a short discussion; I determined it was best to turn back to ZZZ to discontinue the lesson and de-brief what had transpired.Student flew the vectors and initial descent into ZZZ. I took control on short final.   My landing was uneventful. Student taxied back to the ramp uneventfully.  The aircraft was undamaged except for some scrubbing on the left main tire.  I immediately debriefed the Chief Pilot. To prevent re occurrence; I would have monitored the student more closely.",,"C172 flight crew reported during crosswind takeoff instruction student over controlled resulted in momentary loss of control until instructor safely took control.",
2198959,202501,0001-0600,ZZZ.Airport,US,,7,1100,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,None,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft / UAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Personal,Observer,,,,,,,2198959,,,,,,,,,,,,Airspace Violation All Types; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS),,,Person Observer,Other Post-flight,General None Reported / Taken,Human Factors; Procedure,Ambiguous,"A drone was flying above ZZZ on Day 0; footage shows it getting close to a Cessna; flightradar records shows 2 Cessna's were flying at or around 1;000 and 1;600 ft at the same time which means the drone was above its legal altitude and flying near other aircrafts.",,,,"An observer reported seeing footage of a UAS possibly flying above 400 feet AGL and flying near two aircraft.",
2199006,202501,1801-2400,ZZZ.ARTCC,US,,,,34000,,VMC,,,,,,Center ZZZ,Air Carrier,A319,,2,Part 121,IFR,Passenger,,Descent,,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Pressurization Control System,,,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,Flight Crew Last 90 Days 106.2; Flight Crew Total 11615.32; Flight Crew Type 8246.78,,Time Pressure; Workload; Troubleshooting; Situational Awareness; Distraction,,,2199006,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,Flight Crew Last 90 Days 210.25; Flight Crew Total 14953.73; Flight Crew Type 14797.73,,Troubleshooting; Time Pressure; Workload; Situational Awareness; Distraction,,,2199007,Aircraft Equipment Problem Critical,,,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Overcame Equipment Problem; Flight Crew Landed in Emergency Condition,Aircraft,Aircraft,"We were given an early descent clearance into ZZZ on the Arrival from FL380 to FL340. We were just setting up to do our briefings when the pressurization page on our lower ECAM displayed a pulsing green cabin altitude of 9000 feet. Noting that and its trend we seated our passengers and Flight Attendants. We asked for lower altitude to try to mitigate the situation and were cleared to FL290. In the descent the cabin continued to climb so we donned our oxygen masks; and [requested priority handling] as the cabin altitude had climbed to just above 11000 feet. We completed the emergency descent checklist and leveled at 10000. The cabin altitude was still not coming down. We selected the manual mode of pressurization and partially closed the outflow valve and lowered the cabin for landing. ZZZ was subsequently changing the landing runway configuration from south to north so a new ATIS was obtained. We requested a direct routing to the FAF for landing and entered the new ATIS on the performance page. It was then noted that the altimeter had been entered erroneously in the box. It was entered as 22.96 instead of 29.96. It was corrected and we landed without further incident.",,"We were cruising at FL380 and level approaching the ZZZZZ RNAV arrival and inbound to ZZZZZ1 intersection. I verified all of the constraints on the arrival for landing south in ZZZ and I was waiting for the ATIS update to be issued before briefing our descent and arrival into ZZZ. ZZZ Center issued us a crossing constraint at ZZZZZ1 of FL340. We received the new ATIS; and then I started our descent to cross the intersection as specified by ATC. I believe I asked my FO if she had reviewed the arrival constraints as I was getting ready to brief. I think she was doing this as we leveled off at FL340.She then brought to my attention that the system display had changed to the pressure page and that our cabin altitude was high and pulsing green. We then requested lower to see if that would help the cabin altitude stay within limits. ZZZ Center cleared us to descend to FL260; which we did.Our cabin altitude kept increasing during our descent and my FO suggested seating the passengers and the Flight Attendants; which I agree was prudent and she did so.Our cabin altitude was climbing close to 10;000' at this point; so I directed the that we should go on O2 and we requested a further descent; eventually descending to 9;000'. Our cabin altitude was still indicating high; get to above 11;000' on the display. We only had 1 ECAM message which was for 'excessive cabin rate.' My FO was referencing the QRH; but didn't find anything helpful.At this point; I directed her to go to manual control of the outflow valve and close it to try to get to a cabin altitude of around 8;000'; which she did.We had [requested priority handling] during our descent as the cabin altitude approached 10;000' and then I requested to proceed direct to ZZZZZ2 final approach fix for Runway XXL. I coordinated with our Flight Attendants and my FO sent a message to our Dispatcher. I also made a brief PA announcement to our passengers.At this point I heard that ZZZ was in the process of issuing a new ATIS and possibly changing their runway configuration. I asked my FO to get the new ATIS and load that into the FMC.Upon doing so; she noticed that the previous altimeter setting in the FMC was 22.96; and she loaded the correct altimeter setting and the rest of the data.We landed on Runway XXL and proceeded to the gate uneventfully.",,"A319 flight crew reported a failure of the automatic cabin pressurization system to maintain cabin pressure while in a descent to the destination airport. Manual pressurization control was required to stabilize cabin pressure for landing.",
2199018,202501,1201-1800,SFO.Airport,CA,,,,10000,,VMC,,,,,,TRACON NCT,Air Carrier,Medium Large Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,IFR,Passenger,,Climb,SID TRUKN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft / UAS,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 125.15; Flight Crew Type 494.42,,,,,2199018,,,,,,,,,,,,Airspace Violation All Types; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,In-flight,General None Reported / Taken,Human Factors,Human Factors,"While climbing a small white quadcopter passed off the left side of the airplane and below. Estimated 1000-1500 ft below and 1000 ft to the left (north) and it was traveling westbound.",,,,"Air carrier Captain reported an airborne conflict with a UAS while on departure climb out.",
2199087,202501,0001-0600,,,,,,,,,,,,,,,,Citation Latitude (C680A),,2,Part 91,IFR,Ferry / Re-Positioning,,Cruise,,,,,,,,,,,,,,,,,,,,,,,,,,GPS & Other Satellite Navigation,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,,Captain; Pilot Not Flying,,,,Communication Breakdown,Party1 Flight Crew; Party2 Dispatch,,2199087,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Inflight Event / Encounter Other / Unknown,,,Person Flight Crew,In-flight,General None Reported / Taken,Aircraft; Human Factors; Environment - Non Weather Related,Environment - Non Weather Related,"Received amber LPV which later downgraded to amber L/VNAV with amber BOTH ON GPS1. When I contacted maintenance; they indicated that they and the Chief Pilot were well aware of the solar activity affecting GPS systems. I personally verified WAAS LPV status that the entire western hemisphere was downgraded due to a severe solar event. However; no one in Ops or Dispatch had seen it necessary to notify aircrews of the solar activity or it's effect on approach capabilities.Suggestions: Operations should have procedures in place to notify all crewmembers and dispatchers when solar activity may affect WAAS or GPS capabilities.",,,,"CE-680 Captain reported experiencing GPS anomalies apparently related to solar activity.",
2199153,202501,,,,,,,3000,,,,,,,,,Fractional,Challenger 350,,2,Part 135,IFR,,,Initial Approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,A330,,,Part 121,IFR,Passenger,,Initial Approach,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Fractional,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown,Party1 Flight Crew; Party2 ATC,,2199153,,,,,,,,,,,,ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Wake Vortex Encounter; Inflight Event / Encounter Unstabilized Approach,,,Person Flight Crew,In-flight,Flight Crew Took Evasive Action; Flight Crew Requested ATC Assistance / Clarification,Procedure; Environment - Non Weather Related,Procedure,"While on final approach after being cleared for the visual to XXL a wake turbulence event was encountered at 3000 feet. Tower was tied up for the radio call and we got a pretty good bump so I recommended to the PF to climb 200 feet and stay above his flight path to remain above the wake.  We knew it was an A330 6 miles ahead so we opted to continue on the approach and remain above the glide slope having 11000 feet of runway available to us and being on a visual approach.  I asked Tower at one point to slow and advised that we encountered wake turbulence but the request was denied…we continued down the approach and encountered a little more turbulence but remained stable (just above the glide slope) the entire time. A smooth and safe landing was made on XXL.  Unable to establish communication quick enough with ATC made us opt to climb 100-200 feet from the 3000 feet approach clearance.  Also the wake turbulence from the heavy jet and possible separation issue.  I'm not sure if it was preventable.  I'm sure ATC had adequate separation; we knew we were behind the traffic and tried to maintain our position appropriately.",,,,"CL-350 Captain reported encountering wake turbulence on approach and opted to fly above the glide slope to avoid the effects of the wake.",
2199237,202501,1201-1800,,,,,,,,,,,,,,,Air Carrier,A320,,2,Part 121,IFR,Passenger,,Cruise,,,,,,,,,,,,,,,,,,,,,,,,,,Hydraulic System,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Galley,Air Carrier,Flight Attendant (On Duty),,,,,,,2199237,Aircraft X,Galley,Air Carrier,Flight Attendant (On Duty),,,,,,,2199243,Aircraft Equipment Problem Critical,,,Person Flight Crew,In-flight,Flight Crew Diverted,Aircraft,Aircraft,"CA called the crew to inform that we would divert to ZZZ due to Hydraulic fluids leaking. He then made an announcement to inform the passengers.  Once in ZZZ we had a plane swap to a 321 which required another FA. FA3 was ZZZ1 based.  The flight crew continued the trip to ZZZ2 and the crew had an overnight in ZZZ1.",,"Flight 350 ZZZ-ZZZ1 diverted to ZZZ2 due to hydraulic issue. Normal landing and deplaning.",,"A320 crew members reported aircraft diverted due to hydraulic leak.",
