 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

2290712,202510,1801-2400,ZZZ.Airport,US,,,,6000,,,,,,,,TRACON ZZZ,Military,Stratotanker 135,,3,,IFR,Refueling,,Descent; Initial Approach,Vectors,Class C ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facility ZZZ.Tower,,Government,Approach,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 2,,Distraction; Situational Awareness; Workload; Time Pressure,,,2290712,,,,,,,,,,,,ATC Issue All Types; Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Weather / Turbulence,,,Person Air Traffic Control,In-flight,Air Traffic Control Issued New Clearance; Air Traffic Control Issued Advisory / Alert; Flight Crew Became Reoriented; Flight Crew Returned To Clearance; Flight Crew Requested ATC Assistance / Clarification,Weather; Procedure; Human Factors; Airspace Structure; Chart Or Publication,Human Factors,"I issued Aircraft X a descent to 065 as he was inbound from the east requesting the TACAN XX approach at ZZZ. Aircraft X read back; 'Descending to 065'.  After this a commercial jet from the south was checking on; and subsequently asking questions about how busy I was; and if I needed to give him a short cut for the sequence he could take that. The pilot was trying to be helpful but was interrupting my scan. I was responding to his questions and continuing my scan when I noticed Aircraft X at 060 in the 065 MVA east of City X. I issued a Safety Alert to Aircraft X and he advised he was climbing back to 065. As Aircraft X was joining the TACAN inbound to ZZZ he advised me that he had been struck by lightening.  I asked if he required any assistance and he said no. I believe maybe the lightening strike and him descending below the MVA were related but I'm not sure. There was precipitation in the airspace but there was none depicted within around 10-15 miles of Aircraft X so none was issued.KC135s from ZZZ need to ensure that they are descending to the proper altitude or advise that they are taking evasive maneuvers if that was the case.",,,,"A TRACON Controller reported an aircraft on approach descended below their assigned altitude and flew below the Minimum Vectoring Altitude.",
2290714,202510,1801-2400,ZZZ.ARTCC,US,,,,10200,,,,,,,,Center ZZZ,FBO,Cessna Stationair/Turbo Stationair 6,,1,,IFR,Passenger,,Cruise,Vectors,Class E ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facility ZZZ.ARTCC,,,Enroute,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 1,,Time Pressure; Workload,,,2290714,,,,,,,,,,,,ATC Issue All Types; Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Weather / Turbulence,,,Person Air Traffic Control,In-flight,Air Traffic Control Provided Assistance; Air Traffic Control Issued New Clearance; Air Traffic Control Issued Advisory / Alert; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Returned To Clearance,Airspace Structure; Chart Or Publication; Weather,Weather,"Aircraft X is a C206 that called for a pop-up IFR north of ZZZ just inside ZZZ [Center] airspace. After coordination an IFR clearance was given. After a few minutes Aircraft X was at 110 asked for lower; I advised I was unable for their routing due to terrain; but could give a vector towards lower terrain. Aircraft X requested the vector and it was given. After another few mins Aircraft X asked again for lower; now stating they were encountering icing. By this time they had entered an MIA (Minimum IFR Altitude) of 105; so I issued a decent to 105. Before exiting the 105 MIA Aircraft X descended to 102. I issued a low altitude alert; but forgot to say 'check your altitude immediately'; gave the MIA and when they could expect lower (90 seconds). Aircraft X acknowledged; briefly showed level at 105 before again showing 102. As soon as they were in the next MIA of 100 I issued 100 and then 090 a minute later. Aircraft X was able to exit icing conditions; canceled IFR and remained for flight following with no further issue.I have reviewed and practiced the low altitude alert phraseology for next time. There is a memory aid card at the sector; but its location varies from sector to sector so I did not spend the time to look for it until after the event. A standard location at our facility could be useful.When the aircraft requested lower I believe I did an adequate job explaining how lower could be available and when they could expect it; but always something to keep in mind and improve upon.",,,,"A Center Controller reported an aircraft experiencing icing descended below the Minimum IFR Altitude.",
2290822,202510,,,,,,0,,,,,,,,,,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,,GPS; FMS Or FMC,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,Brake System,,,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gate / Ramp / Line,,Air Carrier,Ramp,,,,Communication Breakdown; Situational Awareness,Party1 Ground Personnel; Party2 Flight Crew,,2290822,,,,,,,,,,,,Ground Event / Encounter Loss Of Aircraft Control,,,Person Flight Crew; Person Ground Personnel,Aircraft In Service At Gate,Flight Crew Regained Aircraft Control,Aircraft; Human Factors,Human Factors,"Aircraft tow was being hooked up with strap. brakes were released by flight deck as it was being captured by the wing walker. I was doing the walk around when I heard the captain say is the aircraft rolling backwards? It was so I told him breakaway and to set brakes. maintenance came out and clears the aircraft. supervisor came out 40 minutes after the fact. was told we were good to push we restarted the whole process and then clocked out and went home",,,,"Ground personnel reported that the aircraft brakes were released before the push back tug was connected resulting in the aircraft rolling back.",
2290835,202510,0601-1200,VDF.Airport,FL,,,,,,,,,,,,CTAF VDF,Air Taxi,Light Transport; Low Wing; 2 Turbojet Eng,,2,Part 135,IFR,Passenger,,Initial Approach,Visual Approach,Class E VDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTAF VDF,,Any Unknown or Unlisted Aircraft Manufacturer,,,,,,,,,Class E VDF,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Taxi,First Officer; Pilot Flying,,,,Situational Awareness,,,2290835,,,,,,,,,,,,Airspace Violation All Types; Conflict Airborne Conflict; Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,,Automation Aircraft RA; Person Flight Crew,In-flight,Flight Crew Took Evasive Action,Human Factors; Airspace Structure,Airspace Structure,"Coming into VDF we canceled IFR and began a turn over midfield to join the left downwind for Runway 5; shortly thereafter we received a TCAS RA which commanded a climb that placed us in the 1200 ft. shelf of the Tampa class B airspace. Suggestions: Flying into VDF has been hazardous every time I have flown in due to the volume of training aircraft in the pattern. In my opinion it is absolutely vital that a Control Tower be established here in order to avoid a future mid-air collision.",,,,"Air taxi First Officer reported a traffic conflict with another aircraft when entering the traffic pattern at a non-towered airport; resulting in a TCAS RA. The flight followed the TCAS RA guidance; resulting in a Class B airspace incursion.",
2290857,202510,1801-2400,ZZZ.Airport,US,,,0,,,,,,Night,,,,Air Carrier,A321,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,,,Time Pressure,,,2290857,,,,,,,,,,,,Conflict Ground Conflict; Critical,Horizontal 20,,Person Flight Crew,Taxi,Flight Crew Took Evasive Action,Airport; Human Factors,Ambiguous,"After landing in ZZZ at night; we received ATC clearance to taxi via 1 and 2 to the ramp.  After turning left onto 3 and establishing a taxi speed of approx 10 knots; the taxiway bends to the southeast.  I noticed a tug coming at a high speed (estimated at 30-40 mph) on a road from our left.  When I realized he wasn't slowing; I came to a fairly abrupt stop.  Immediately after that; the tug noticed us and also came to an abrupt stop onto the taxiway about 20 feet in front of us; at our 1130 position.  Then he reversed all the way back (approx 100 feet) to the stop sign; which we presumed he never stopped at in the first place.  My first officer's attention was diverted to other ramp vehicles at our 2 o'clock; who appeared to also be heading to cross in front of us.  Had I not noticed the tug from the left; it very likely would have collided with our aircraft.I recommend that we include this hazard in our company pages; due to the unique nature of how [taxiway] 3 bends immediately before the intersection with that road; which makes it difficult to notice vehicles who may be coming from the left.",,,,"Air carrier pilot reported a near miss with a fast-moving tug during taxi. Pilot applied brakes to avoid a collision.",
2290868,202509,1201-1800,ZZZ.Airport,US,,,0,,,,,,,,,Tower ZZZ,Air Carrier,B737-800,,2,Part 121,IFR,Passenger,,Takeoff / Launch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Any Unknown or Unlisted Aircraft Manufacturer,,,,,,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,Time Pressure,,,2290868,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,Time Pressure,,,2290849,ATC Issue All Types; Conflict Ground Conflict; Critical; Ground Incursion Runway,,,Person Air Traffic Control,In-flight,Air Traffic Control Issued New Clearance; Flight Crew Rejected Takeoff,Procedure; Airport,Ambiguous,"We were cleared for takeoff; began our takeoff roll; and at some point after 80 knots and prior to 100 knots; we were directed to cancel takeoff clearance due to crossing traffic down field. We performed the rejected takeoff procedure; taxied clear of the runway; parked in the holding pad to coordinate a return to the gate for a maintenance inspection. Crossing traffic downfield created an unsafe condition for our departure; tower cancelled our takeoff clearance.",,"ATC initiated rejected takeoff. We were cleared for takeoff (above 80kias and below 100 kias). Tower canceled takeoff clearance due to crossing traffic downfield. Upon receiving this radio call we executed a rejected takeoff procedure; cleared the active runway; and returned to the gate for maintenance inspection.No suggestions; the event was ATC initiated. We performed the rejected takeoff procedure; took necessary precautions; called dispatch and maintenance; were told to return to gate for hot brakes inspection. After inspection; both the captain and I conducted fit for duty self inspections; determined we were still safe to fly; and we proceeded with scheduled flight.",,"Air carrier flight crew reported ATC cancelled their takeoff clearance during takeoff roll due to an aircraft crossing the runway. Flight crew performed a rejected takeoff.",
2290938,202510,,,,,,0,,,,,,,,,,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,Door,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Door Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,,Situational Awareness,,,2290938,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown,,,Person Ground Personnel,Aircraft In Service At Gate,Flight Crew Overcame Equipment Problem,Human Factors,Human Factors,"After landing I disarmed 1L and 1R but forgot to change the streamer to the disarmed position on door 2R. When catering arrived they called to inform us they thought the door was armed due to the streamer.  FA A answered the phone and cross checked the door and gave them the all clear then informed me about my mistake.",,,,"Air carrier Flight Attendant reported forgetting to change the streamer on the door to the disarmed position after landing. Catering called the cabin to confirm the door was disarmed.",
2291055,202510,,SFO.Airport,CA,,,,1000,,VMC,,,,,,Tower SFO,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Final Approach,,Class B SFO,,,,,,,,,,,,,,,,,,,,,,,,Autopilot,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,Situational Awareness,,,2291055,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,Situational Awareness,,,2291084,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Unstabilized Approach,,,Person Flight Crew; Person Air Traffic Control,In-flight,Air Traffic Control Issued Advisory / Alert; Flight Crew Overrode Automation; Flight Crew Returned To Clearance,Aircraft,Aircraft,"FO was flying visual approach 28L into SFO using the ILS 28 L with Autopilot Command B on.  After configuring and completing the Landing checklist just below 1000 ft; I saw an amber message on glare shield for G\S; almost instantaneously I saw that we had dipped below the glide path.  But before I could verbally say altitude; or low; or anything the FO clicked off the autopilot and corrected the path while also at the same time; the tower verbalized an altitude alert and called out the altimeter setting.  I acknowledged the tower while the FO raised the nose of the aircraft and got back on the glide path around 700 ft and continued the approach to a normal landing.We debriefed and I asked what had happened and he said the autopilot pitched over so he turned it off and corrected the path.  This all happened really fast and all the events occurred almost simultaneously.",,"On final approach into the ILS 28L at San Francisco we received an altitude alert from air traffic control. I was flying at the time and the sequence of events that I remember are as follows. We were fully configured with the landing checklist complete and stable on the approach. The ILS localizer and glideslope had been captured with the auto pilot on. In what seem to be an almost simultaneous event I noticed that we were about a 1/2 to 3/4 dot low on the glideslope while also noticing that FD was displaying on my PFD. I immediately began to correct altitude and glide slope and acknowledged it to the other pilot. Around the same time air traffic control called out in altitude alert for us. I did not disconnect the auto pilot prior to that event and had been monitoring it and completing my cross check on a stable approach the entire approach prior to the event.",,"Air carrier flight crew reported the autopilot malfunctioned during visual approach to SFO airport resulting in a CFTT event.",
